original_outgoing,original_incoming,dummy_outgoing,dummy_incoming,total_outgoing,total_incoming,total_original,total_padded
3121,14957,98,59,3219,15016,18078,18235
3142,14975,94,62,3236,15037,18117,18273
3148,15077,26,22,3174,15099,18225,18273
3137,14969,1,38,3138,15007,18106,18145
3143,15005,55,8,3198,15013,18148,18211
3172,14957,74,75,3246,15032,18129,18278
3117,14957,98,64,3215,15021,18074,18236
3137,14963,73,85,3210,15048,18100,18258
3119,14996,28,48,3147,15044,18115,18191
3185,14969,89,17,3274,14986,18154,18260
3120,14956,26,72,3146,15028,18076,18174
3128,14987,65,81,3193,15068,18115,18261
3123,15011,5,13,3128,15024,18134,18152
3124,15008,58,34,3182,15042,18132,18224
3126,14957,55,57,3181,15014,18083,18195
3127,14981,90,49,3217,15030,18108,18247
3169,14978,74,21,3243,14999,18147,18242
3186,14956,44,13,3230,14969,18142,18199
3122,14969,30,35,3152,15004,18091,18156
3179,15005,36,72,3215,15077,18184,18292
3115,15005,96,55,3211,15060,18120,18271
3150,14976,88,18,3238,14994,18126,18232
3105,14987,90,65,3195,15052,18092,18247
3155,14969,7,67,3162,15036,18124,18198
3148,15083,33,31,3181,15114,18231,18295
3187,15028,16,98,3203,15126,18215,18329
3183,15047,39,11,3222,15058,18230,18280
3159,15005,68,39,3227,15044,18164,18271
3143,15029,16,24,3159,15053,18172,18212
3122,14956,71,42,3193,14998,18078,18191
3149,15089,18,18,3167,15107,18238,18274
3157,14970,36,79,3193,15049,18127,18242
3146,14959,2,35,3148,14994,18105,18142
3213,15005,33,14,3246,15019,18218,18265
3132,15066,7,64,3139,15130,18198,18269
3120,15041,8,5,3128,15046,18161,18174
3153,15034,55,94,3208,15128,18187,18336
3151,14987,29,24,3180,15011,18138,18191
3116,14968,45,30,3161,14998,18084,18159
3175,14957,40,68,3215,15025,18132,18240
3131,14962,76,51,3207,15013,18093,18220
3125,15011,10,83,3135,15094,18136,18229
3150,14957,25,9,3175,14966,18107,18141
3139,14969,36,27,3175,14996,18108,18171
3122,14957,26,48,3148,15005,18079,18153
