original_outgoing,original_incoming,dummy_outgoing,dummy_incoming,total_outgoing,total_incoming,total_original,total_padded
3121,14957,4,75,3125,15032,18078,18157
3142,14975,2,80,3144,15055,18117,18199
3148,15077,4,76,3152,15153,18225,18305
3137,14969,1,29,3138,14998,18106,18136
3143,15005,1,67,3144,15072,18148,18216
3172,14957,2,72,3174,15029,18129,18203
3117,14957,4,63,3121,15020,18074,18141
3137,14963,3,85,3140,15048,18100,18188
3119,14996,3,83,3122,15079,18115,18201
3185,14969,2,79,3187,15048,18154,18235
3120,14956,1,56,3121,15012,18076,18133
3128,14987,2,54,3130,15041,18115,18171
3123,15011,4,82,3127,15093,18134,18220
3124,15008,1,56,3125,15064,18132,18189
3126,14957,2,41,3128,14998,18083,18126
3127,14981,3,59,3130,15040,18108,18170
3169,14978,2,77,3171,15055,18147,18226
3186,14956,4,32,3190,14988,18142,18178
3122,14969,2,49,3124,15018,18091,18142
3179,15005,3,37,3182,15042,18184,18224
3115,15005,3,11,3118,15016,18120,18134
3150,14976,3,72,3153,15048,18126,18201
3105,14987,2,83,3107,15070,18092,18177
3155,14969,4,64,3159,15033,18124,18192
3148,15083,3,78,3151,15161,18231,18312
3187,15028,1,40,3188,15068,18215,18256
3183,15047,1,56,3184,15103,18230,18287
3159,15005,4,51,3163,15056,18164,18219
3143,15029,3,21,3146,15050,18172,18196
3122,14956,2,37,3124,14993,18078,18117
3149,15089,1,75,3150,15164,18238,18314
3157,14970,2,88,3159,15058,18127,18217
3146,14959,2,26,3148,14985,18105,18133
3213,15005,3,83,3216,15088,18218,18304
3132,15066,1,82,3133,15148,18198,18281
3120,15041,1,13,3121,15054,18161,18175
3153,15034,4,33,3157,15067,18187,18224
3151,14987,3,24,3154,15011,18138,18165
3116,14968,2,54,3118,15022,18084,18140
3175,14957,4,12,3179,14969,18132,18148
3131,14962,4,61,3135,15023,18093,18158
3125,15011,4,63,3129,15074,18136,18203
3150,14957,2,20,3152,14977,18107,18129
3139,14969,1,98,3140,15067,18108,18207
3122,14957,4,62,3126,15019,18079,18145
3188,15167,1,7,3189,15174,18355,18363
3124,14993,4,6,3128,14999,18117,18127
3151,15017,4,92,3155,15109,18168,18264
556,1260,4,73,560,1333,1816,1893
3113,14956,2,6,3115,14962,18069,18077
3097,14744,3,59,3100,14803,17841,17903
3122,15149,4,29,3126,15178,18271,18304
3138,14969,1,38,3139,15007,18107,18146
3141,15007,2,62,3143,15069,18148,18212
3176,15274,4,54,3180,15328,18450,18508
3167,15167,3,42,3170,15209,18334,18379
3156,15041,4,29,3160,15070,18197,18230
3150,14935,3,90,3153,15025,18085,18178
3145,14987,1,62,3146,15049,18132,18195
3136,14998,1,46,3137,15044,18134,18181
3147,15046,4,88,3151,15134,18193,18285
3134,14993,2,22,3136,15015,18127,18151
3152,14984,2,15,3154,14999,18136,18153
3136,14999,4,92,3140,15091,18135,18231
3109,14963,1,70,3110,15033,18072,18143
3147,14975,1,40,3148,15015,18122,18163
3124,14987,4,21,3128,15008,18111,18136
3120,15005,2,45,3122,15050,18125,18172
3149,15113,2,29,3151,15142,18262,18293
3139,14923,3,78,3142,15001,18062,18143
3157,14981,1,36,3158,15017,18138,18175
3143,14968,1,76,3144,15044,18111,18188
3138,15005,3,68,3141,15073,18143,18214
3128,15136,2,18,3130,15154,18264,18284
3127,14890,1,68,3128,14958,18017,18086
3240,14958,4,5,3244,14963,18198,18207
3161,15016,1,94,3162,15110,18177,18272
3141,14963,3,59,3144,15022,18104,18166
3125,15045,1,97,3126,15142,18170,18268
3136,14963,1,28,3137,14991,18099,18128
3135,15059,2,42,3137,15101,18194,18238
3146,14957,4,15,3150,14972,18103,18122
3167,15036,1,81,3168,15117,18203,18285
3165,14993,4,4,3169,14997,18158,18166
3174,14980,4,12,3178,14992,18154,18170
3118,14932,3,61,3121,14993,18050,18114
3110,14957,2,30,3112,14987,18067,18099
3163,14998,4,54,3167,15052,18161,18219
3160,14963,3,34,3163,14997,18123,18160
3198,15047,4,14,3202,15061,18245,18263
3148,14963,1,39,3149,15002,18111,18151
3136,14999,1,64,3137,15063,18135,18200
3178,14957,2,98,3180,15055,18135,18235
3185,14969,3,97,3188,15066,18154,18254
3124,14956,2,43,3126,14999,18080,18125
3167,14974,1,10,3168,14984,18141,18152
3136,14979,2,72,3138,15051,18115,18189
3127,14963,4,52,3131,15015,18090,18146
3146,14993,3,7,3149,15000,18139,18149
3169,15062,4,26,3173,15088,18231,18261
2109,11366,1,44,2110,11410,13475,13520
2151,11372,2,18,2153,11390,13523,13543
2166,11354,1,73,2167,11427,13520,13594
2175,11378,2,33,2177,11411,13553,13588
2138,11510,2,36,2140,11546,13648,13686
2084,11342,1,30,2085,11372,13426,13457
2116,11349,1,54,2117,11403,13465,13520
2108,11384,3,67,2111,11451,13492,13562
2144,11402,4,37,2148,11439,13546,13587
2139,11379,3,96,2142,11475,13518,13617
